#TYPE System.Management.Automation.PSCustomObject
"Low","High","LBin","HBin","LDec","HDec"
"2.16.88.0","2.16.88.255","00000010000100000101100000000000","00000010000100000101100011111111","34625536","34625791"
"2.17.136.0","2.17.139.255","00000010000100011000100000000000","00000010000100011000101111111111","34703360","34704383"
"2.18.4.0","2.18.7.255","00000010000100100000010000000000","00000010000100100000011111111111","34735104","34736127"
"5.2.80.0","5.2.87.255","00000101000000100101000000000000","00000101000000100101011111111111","84037632","84039679"
"5.10.140.0","5.10.140.255","00000101000010101000110000000000","00000101000010101000110011111111","84577280","84577535"
"5.11.128.0","5.11.255.255","00000101000010111000000000000000","00000101000010111111111111111111","84639744","84672511"
"5.23.0.0","5.23.0.255","00000101000101110000000000000000","00000101000101110000000011111111","85393408","85393663"
"5.23.8.0","5.23.9.3","00000101000101110000100000000000","00000101000101110000100100000011","85395456","85395715"
"5.23.16.0","5.23.16.31","00000101000101110001000000000000","00000101000101110001000000011111","85397504","85397535"
"5.23.120.0","5.23.127.255","00000101000101110111100000000000","00000101000101110111111111111111","85424128","85426175"
"5.24.0.0","5.27.255.255","00000101000110000000000000000000","00000101000110111111111111111111","85458944","85721087"
"5.44.80.0","5.44.95.255","00000101001011000101000000000000","00000101001011000101111111111111","86790144","86794239"
"5.44.150.0","5.44.153.255","00000101001011001001011000000000","00000101001011001001100111111111","86808064","86809087"
"5.44.155.0","5.44.159.255","00000101001011001001101100000000","00000101001011001001111111111111","86809344","86810623"
"5.45.215.0","5.45.215.17","00000101001011011101011100000000","00000101001011011101011100010001","86890240","86890257"
"5.45.215.20","5.45.215.27","00000101001011011101011100010100","00000101001011011101011100011011","86890260","86890267"
"5.45.215.32","5.45.215.39","00000101001011011101011100100000","00000101001011011101011100100111","86890272","86890279"
"5.45.215.48","5.45.215.63","00000101001011011101011100110000","00000101001011011101011100111111","86890288","86890303"
"5.45.215.128","5.45.215.191","00000101001011011101011110000000","00000101001011011101011110111111","86890368","86890431"
"5.46.0.0","5.47.255.255","00000101001011100000000000000000","00000101001011111111111111111111","86900736","87031807"
"5.62.126.0","5.62.127.255","00000101001111100111111000000000","00000101001111100111111111111111","87981568","87982079"
"5.100.156.0","5.100.157.255","00000101011001001001110000000000","00000101011001001001110111111111","90479616","90480127"
"5.104.0.0","5.104.15.255","00000101011010000000000000000000","00000101011010000000111111111111","90701824","90705919"
"5.133.100.0","5.133.103.255","00000101100001010110010000000000","00000101100001010110011111111111","92627968","92628991"
"5.133.124.0","5.133.127.255","00000101100001010111110000000000","00000101100001010111111111111111","92634112","92635135"
"5.159.248.0","5.159.255.255","00000101100111111111100000000000","00000101100111111111111111111111","94369792","94371839"
"5.176.0.0","5.177.255.255","00000101101100000000000000000000","00000101101100011111111111111111","95420416","95551487"
"5.226.192.0","5.226.255.255","00000101111000101100000000000000","00000101111000101111111111111111","98746368","98762751"
"5.229.0.0","5.229.255.255","00000101111001010000000000000000","00000101111001011111111111111111","98893824","98959359"
"5.250.240.0","5.250.255.255","00000101111110101111000000000000","00000101111110101111111111111111","100331520","100335615"
"5.255.197.0","5.255.197.215","00000101111111111100010100000000","00000101111111111100010111010111","100648192","100648407"
"5.255.254.16","5.255.254.35","00000101111111111111111000010000","00000101111111111111111000100011","100662800","100662819"
"5.255.254.38","5.255.254.63","00000101111111111111111000100110","00000101111111111111111000111111","100662822","100662847"
"17.67.198.0","17.67.199.255","00010001010000111100011000000000","00010001010000111100011111111111","289654272","289654783"
"23.14.96.0","23.14.127.255","00010111000011100110000000000000","00010111000011100111111111111111","386818048","386826239"
"23.56.97.0","23.56.97.255","00010111001110000110000100000000","00010111001110000110000111111111","389570816","389571071"
"23.58.222.0","23.58.223.255","00010111001110101101111000000000","00010111001110101101111111111111","389733888","389734399"
"23.209.100.0","23.209.103.255","00010111110100010110010000000000","00010111110100010110011111111111","399598592","399599615"
"23.221.160.0","23.221.197.255","00010111110111011010000000000000","00010111110111011100010111111111","400400384","400410111"
"24.133.0.0","24.133.255.255","00011000100001010000000000000000","00011000100001011111111111111111","411369472","411435007"
"31.3.0.0","31.3.1.255","00011111000000110000000000000000","00011111000000110000000111111111","520290304","520290815"
"31.3.4.0","31.3.4.255","00011111000000110000010000000000","00011111000000110000010011111111","520291328","520291583"
"31.3.7.0","31.3.7.255","00011111000000110000011100000000","00011111000000110000011111111111","520292096","520292351"
"31.6.80.0","31.6.95.255","00011111000001100101000000000000","00011111000001100101111111111111","520507392","520511487"
"31.7.32.0","31.7.39.255","00011111000001110010000000000000","00011111000001110010011111111111","520560640","520562687"
"31.14.52.0","31.14.52.255","00011111000011100011010000000000","00011111000011100011010011111111","521024512","521024767"
"31.14.75.0","31.14.75.255","00011111000011100100101100000000","00011111000011100100101111111111","521030400","521030655"
